ticker,SMA,MA_TYPE,DELTA,DELAY,SURVIVAL_PROB,BUCKETS,STARTING_CAPITAL,maxterm,WHIPSAW_DAYS,final_equity,CAGR,CAGR_pct,max_drawdown,max_drawdown_pct,final_state,data_last_date
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,42,122545.65,0.15528727,15.5287,-0.10347415,-10.3474,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,43,123678.67,0.15595966,15.5960,-0.10173136,-10.1731,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,44,131521.30,0.16046158,16.0462,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,45,133246.16,0.16141789,16.1418,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,46,134473.33,0.16209123,16.2091,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,47,137567.90,0.16376398,16.3764,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,48,140017.62,0.16506334,16.5063,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,49,142305.74,0.16625790,16.6258,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,50,140089.15,0.16510097,16.5101,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,51,135474.05,0.16263607,16.2636,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,52,137208.06,0.16357129,16.3571,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,53,136160.23,0.16300749,16.3007,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,54,135911.89,0.16287327,16.2873,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,55,140952.94,0.16555384,16.5554,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,56,145766.50,0.16803090,16.8031,-0.09401498,-9.4015,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,57,145262.08,0.16777495,16.7775,-0.09606363,-9.6064,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,58,142614.40,0.16641766,16.6418,-0.09549704,-9.5497,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,59,149293.55,0.16979774,16.9798,-0.09671204,-9.6712,Floor hold,2026-07-23
VOO,13,least_squares,0.26,6,0.47,2,12494.00,5,60,161634.54,0.17568636,17.5686,-0.09046757,-9.0468,Floor hold,2026-07-23
